N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiEnabled,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,arm,t,meanE_mean,meanE_std,p10E_mean,p10E_std,p50E_mean,p50E_std,p90E_mean,p90E_std,divergence_mean,divergence_std,topE_mean,topE_std,aiLevel_mean,aiLevel_std,shareBelowAI_mean,shareBelowAI_std,shareExpert_mean,shareExpert_std,minOccupancy_mean,minOccupancy_std,emptyInstitutions_mean,emptyInstitutions_std,underOccupiedInstitutions_mean,underOccupiedInstitutions_std,n
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,295,treatment,120,0.4928636835577587,0,0.1865,0,0.5355,0,0.6565,0,0.01862847546561421,0,0.9175832271575928,0,0.585,0,0.6816666666666666,0,0.31833333333333336,0,0,0,56,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,295,baseline,120,0.5189691257787248,0,0.2655,0,0.5615,0,0.6775,0,0.013734383581843696,0,0.9183852076530457,0,,,,,0.395,0,0,0,50,0,210,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,296,treatment,120,0.47899560377622646,0,0.1835,0,0.5335,0,0.6535,0,0.018137890084954388,0,0.8271405696868896,0,0.585,0,0.6933333333333334,0,0.30666666666666664,0,0,0,62,0,206,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,296,baseline,120,0.498208252688249,0,0.2015,0,0.5525,0,0.6605,0,0.017204429082196968,0,0.8284791111946106,0,,,,,0.385,0,0,0,46,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,297,treatment,120,0.4946810379624367,0,0.2065,0,0.5395,0,0.6605,0,0.016610409324152586,0,0.9211385846138,0,0.585,0,0.67,0,0.33,0,0,0,38,0,209,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,297,baseline,120,0.523540618326515,0,0.2325,0,0.5655,0,0.6835,0,0.016068698483222593,0,0.9354533553123474,0,,,,,0.44166666666666665,0,0,0,47,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,298,treatment,120,0.4741626064355175,0,0.1865,0,0.5145,0,0.6425,0,0.013939980459812451,0,0.8640490770339966,0,0.585,0,0.7616666666666667,0,0.23833333333333334,0,0,0,51,0,209,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,298,baseline,120,0.49314977424219253,0,0.2025,0,0.5365,0,0.6645,0,0.017688694165428346,0,0.8799092769622803,0,,,,,0.32,0,0,0,53,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,299,treatment,120,0.48364750827352204,0,0.1805,0,0.5285,0,0.6425,0,0.01805877494130353,0,0.8958888053894043,0,0.585,0,0.7,0,0.3,0,0,0,42,0,212,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,299,baseline,120,0.5057387738426526,0,0.2245,0,0.5565,0,0.6555,0,0.016939011078249078,0,0.8977888226509094,0,,,,,0.3933333333333333,0,0,0,44,0,216,0,1
